City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,72.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
7,Atuona,PF,78.8,few clouds,-9.8,-139.0333,Villa Enata
10,Cidreira,BR,71.74,broken clouds,-30.1811,-50.2056,Hotel Castelo
12,Biak,ID,79.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
13,Saint George,US,66.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Moron,AR,75.99,clear sky,-34.6534,-58.6198,Hotel Morón
16,Luderitz,,73.89,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
22,Mabaruma,GY,72.12,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
23,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
27,Airai,TL,67.93,overcast clouds,-8.9266,125.4092,
30,Cape Town,ZA,69.89,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,Raga,SS,71.62,broken clouds,8.4596,25.678,
32,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
33,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
34,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
35,Codrington,AU,67.41,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
36,Inhambane,MZ,75.2,clear sky,-23.865,35.3833,Oceano
39,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
41,Port Alfred,ZA,65.64,clear sky,-33.5906,26.891,The Halyards Hotel
43,Kaitangata,NZ,62.13,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
46,Ondjiva,AO,68.88,light rain,-17.0667,15.7333,COMBUESA
48,Salvador,SV,76.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
49,Broken Hill,AU,74.39,clear sky,-31.95,141.4333,Royal Exchange Hotel
53,Acapulco,MX,79.29,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
54,Hermanus,ZA,67.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
56,Bluff,NZ,73.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
59,Ponta Do Sol,PT,68.13,overcast clouds,32.6667,-17.1,Hotel do Campo
63,Mataura,NZ,73.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
64,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
65,Hobart,AU,74.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
66,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,North Bend,US,63.91,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
68,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Chuy,UY,65.79,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
76,Basco,PH,74.93,few clouds,20.4487,121.9702,Nathaniel's Lodge
