City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Namatanai,PG,-3.6667,152.4333,84.63,69,55,5.46,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,72.09,90,72,13.0,broken clouds
2,Leningradskiy,RU,69.3833,178.4167,-28.3,97,98,6.31,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,50.11,53,75,26.46,broken clouds
4,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,5.75,clear sky
5,Port-Gentil,GA,-0.7193,8.7815,81.23,80,88,6.13,overcast clouds
6,Hervey Bay,AU,-25.2986,152.8535,84.04,67,2,8.01,clear sky
7,Atuona,PF,-9.8,-139.0333,78.8,74,17,16.71,few clouds
8,Kodiak,US,57.79,-152.4072,20.71,38,0,25.32,clear sky
9,Zhezkazgan,KZ,47.8043,67.7144,12.94,99,99,5.3,overcast clouds
10,Cidreira,BR,-30.1811,-50.2056,71.74,72,66,13.18,broken clouds
11,Albany,US,42.6001,-73.9662,39.67,64,66,4.45,broken clouds
12,Biak,ID,-0.9131,122.8766,79.95,77,99,0.67,overcast clouds
13,Saint George,US,37.1041,-113.5841,66.94,19,0,11.99,clear sky
14,Kapaa,US,22.0752,-159.319,80.58,70,34,5.01,scattered clouds
15,Moron,AR,-34.6534,-58.6198,75.99,74,2,9.33,clear sky
16,Luderitz,NA,-26.6481,15.1594,73.89,51,10,17.49,clear sky
17,Ushuaia,AR,-54.8,-68.3,49.66,46,75,19.57,broken clouds
18,Ust-Nera,RU,64.5667,143.2,-27.85,98,73,4.76,broken clouds
19,Grindavik,IS,63.8424,-22.4338,23.47,74,0,6.91,clear sky
20,Khani,GE,41.9563,42.9566,38.77,98,100,2.62,overcast clouds
21,Deputatskiy,RU,69.3,139.9,-28.19,85,95,6.73,overcast clouds
22,Mabaruma,GY,8.2,-59.7833,72.12,85,44,3.27,scattered clouds
23,Busselton,AU,-33.65,115.3333,68.04,55,10,11.34,clear sky
24,Faya,SA,18.3851,42.4509,57.31,83,1,4.23,clear sky
25,Narsaq,GL,60.9167,-46.05,16.02,71,98,9.78,overcast clouds
26,Hamilton,US,39.1834,-84.5333,47.17,53,99,1.99,overcast clouds
27,Airai,TL,-8.9266,125.4092,67.93,80,99,0.98,overcast clouds
28,Taonan,CN,45.3333,122.7833,5.43,95,88,5.84,overcast clouds
29,Iqaluit,CA,63.7506,-68.5145,-23.31,67,28,15.99,scattered clouds
30,Cape Town,ZA,-33.9258,18.4232,69.89,83,75,3.44,broken clouds
31,Raga,SS,8.4596,25.678,71.62,22,56,5.01,broken clouds
32,Imbituba,BR,-28.24,-48.6703,75.09,85,63,5.46,broken clouds
33,Georgetown,MY,5.4112,100.3354,78.73,89,20,5.75,few clouds
34,Rikitea,PF,-23.1203,-134.9692,79.2,69,8,15.26,clear sky
35,Codrington,AU,-38.2667,141.9667,67.41,53,57,14.58,broken clouds
36,Inhambane,MZ,-23.865,35.3833,75.2,82,0,4.65,clear sky
37,Torbay,CA,47.6666,-52.7314,34.57,91,93,5.99,overcast clouds
38,Uppsala,SE,60.0,17.75,35.04,64,1,13.8,clear sky
39,Bambous Virieux,MU,-20.3428,57.7575,74.21,75,81,6.02,broken clouds
40,Jamestown,US,42.097,-79.2353,41.29,10,95,12.71,overcast clouds
41,Port Alfred,ZA,-33.5906,26.891,65.64,85,5,9.98,clear sky
42,Barrow,US,71.2906,-156.7887,-25.69,96,88,10.6,overcast clouds
43,Kaitangata,NZ,-46.2817,169.8464,62.13,95,99,5.03,overcast clouds
44,West Lafayette,US,40.4259,-86.9081,39.11,81,100,8.01,overcast clouds
45,Vaini,TO,-21.2,-175.2,80.42,83,41,18.7,light rain
46,Ondjiva,AO,-17.0667,15.7333,68.88,85,91,7.67,light rain
47,Longyearbyen,SJ,78.2186,15.6401,12.04,79,20,5.75,few clouds
48,Salvador,SV,13.8333,-88.9167,76.05,42,85,1.01,overcast clouds
49,Broken Hill,AU,-31.95,141.4333,74.39,43,7,20.2,clear sky
50,Lata,PT,40.1629,-8.3327,48.72,69,9,3.06,clear sky
