City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kodiak,57.79,-152.4072,24.31,58,40,10.36,US,2022-02-09 02:24:45
1,Castro,-24.7911,-50.0119,61.45,98,31,9.04,BR,2022-02-09 02:24:46
2,Saint George,37.1041,-113.5841,61.39,16,0,20.71,US,2022-02-09 02:22:44
3,Talcahuano,-36.7167,-73.1167,64.08,72,0,17.27,CL,2022-02-09 02:24:46
4,Ozark,37.0209,-93.206,52.21,71,2,7.07,US,2022-02-09 02:24:46
5,Hithadhoo,-0.6,73.0833,82.83,68,100,14.09,MV,2022-02-09 02:24:47
6,Mataura,-46.1927,168.8643,64.47,66,100,4.99,NZ,2022-02-09 02:24:47
7,Lagoa,39.05,-27.9833,59.23,71,98,13.13,PT,2022-02-09 02:24:47
8,Faya,18.3851,42.4509,50.52,81,6,3.56,SA,2022-02-09 02:24:47
9,Leua,48.2156,18.6071,44.92,86,100,10.51,SK,2022-02-09 02:24:48
10,Rikitea,-23.1203,-134.9692,79.09,70,84,14.12,PF,2022-02-09 02:24:48
11,Princeton,25.5384,-80.4089,68.02,87,0,11.5,US,2022-02-09 02:24:48
12,Kavaratti,10.5669,72.642,78.51,72,100,11.92,IN,2022-02-09 02:24:49
13,Cockburn Town,21.4612,-71.1419,76.96,73,40,16.11,TC,2022-02-09 02:24:49
14,Krasnoselkup,65.7,82.4667,-13.32,88,93,11.03,RU,2022-02-09 02:24:49
15,Norman Wells,65.282,-126.8329,-23.76,62,100,2.3,CA,2022-02-09 02:24:49
16,Moroni,-11.7022,43.2551,79.41,81,100,12.26,KM,2022-02-09 02:24:50
17,Saint-Philippe,-21.3585,55.7679,74.79,85,89,9.69,RE,2022-02-09 02:24:50
18,Port Elizabeth,-33.918,25.5701,64.69,94,100,21.85,ZA,2022-02-09 02:24:50
19,Goba,7.0167,39.9833,50.29,64,93,0.63,ET,2022-02-09 02:24:51
20,Yining,29.0361,114.5636,37.56,95,100,1.68,CN,2022-02-09 02:24:51
21,Albany,42.6001,-73.9662,30.16,73,22,8.61,US,2022-02-09 02:24:15
22,Bengkulu,-3.8004,102.2655,78.94,79,97,7.05,ID,2022-02-09 02:23:53
23,Halifax,44.6453,-63.5724,36.48,97,100,10.36,CA,2022-02-09 02:21:19
24,Fairbanks,64.8378,-147.7164,6.76,69,0,4.61,US,2022-02-09 02:23:26
25,Sabang,5.8933,95.3214,81.0,75,80,7.83,ID,2022-02-09 02:24:52
26,Khandyga,62.6667,135.6,-11.65,92,99,2.42,RU,2022-02-09 02:24:52
27,Busselton,-33.65,115.3333,74.05,48,1,5.14,AU,2022-02-09 02:24:52
28,New Norfolk,-42.7826,147.0587,82.65,22,70,1.92,AU,2022-02-09 02:24:53
